cooling	deck	dishwasher	heating	last sold	laundry	num_rooms	refridg	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore
				1		7		0	0		10	House For Sale	329000	299000		"2220 Garland Dr, Vestavia, AL35216"	3	2	1899	1961		Realty South	http://www.zillow.com/homedetails/2220-Garland-Dr-Vestavia-AL-35216/987089_zpid/		0	11
		1		1	1	6		0	1	1	8.333333333	House For Sale	359900	524000		"1300 E Fairway Dr, Gulf Shores, AL36542"	6	3	3627	1997	24829.2	MyFavoriteAgent.com LLC	http://www.zillow.com/homedetails/1300-E-Fairway-Dr-Gulf-Shores-AL-36542/72778511_zpid/		0	3
1		1	1		1			0	2	1	4.333333333	House For Sale	195000	190000		"10624 Harcourt Trce, Montgomery, AL36117"	4	2	1924			"Capital Realty Group River Region, LLC"	http://www.zillow.com/homedetails/10624-Harcourt-Trce-Montgomery-AL-36117/2108466190_zpid/		0	2
1		1	1						1		5	House For Sale	275000	226000		"635 County Road 865, Gaylesville, AL35973"	3	2	2048		217800	CRYE-LEIKE REALTORS	http://www.zillow.com/homedetails/635-County-Road-865-Gaylesville-AL-35973/2108802331_zpid/		0	0
											6.666666667	House For Sale	162000	150000		"109 Sawtooth Dr, Dothan, AL36301"	3	2	1680		"7,840"	BHHS Showcase Properties	http://www.zillow.com/homedetails/109-Sawtooth-Dr-Dothan-AL-36301/2104750754_zpid/		0	1
											5.666666667	Lot/Land For Sale	65000			"Oasis Blvd, Robertsdale, AL36567"							http://www.zillow.com/homedetails/Oasis-Blvd-Robertsdale-AL-36567/2104751045_zpid/		0	0
											5.666666667	Lot/Land For Sale	65000			"0 Oasis Blvd, Robertsdale, AL36567"						MyFavoriteAgent.com LLC	http://www.zillow.com/homedetails/0-Oasis-Blvd-Robertsdale-AL-36567/2104752506_zpid/		0	0
				1		6		0			4	House For Sale	179900	188000		"1259 Texas St, Mobile, AL36604"	3	2	1965	1920		Bellator Real Estate & Dev. Mobile	http://www.zillow.com/homedetails/1259-Texas-St-Mobile-AL-36604/51022977_zpid/		0	50
1			1	1		1		0			1.666666667	House For Sale	99900	97000		"119 Moonglow Dr, Birmingham, AL35215"	3	2	1355	1982		RealtySouth	http://www.zillow.com/homedetails/119-Moonglow-Dr-Birmingham-AL-35215/906733_zpid/	1	0	5
												House For Sale	229000	214000		"2309 Walker Ln, New Market, AL35761"	3	3	2160	2000	217800	CRYE-LEIKE REALTORS	http://www.zillow.com/homedetails/2309-Walker-Ln-New-Market-AL-35761/92149277_zpid/		0	0
1		1		1		5		0	2		5.333333333	House For Sale	180000	172000		"14 Cedarwood Ln, Phenix City, AL36870"	3	2	2115	2011	11325.6	Solid Source Premier Realty	http://www.zillow.com/homedetails/14-Cedarwood-Ln-Phenix-City-AL-36870/117750247_zpid/		0	2
		1			1	8		0	1		4.666666667	House For Sale	219500	135000		"171 Church St, Pinckard, AL36371"	3	2	2522	1973			http://www.zillow.com/homedetails/171-Church-St-Pinckard-AL-36371/2105254901_zpid/		0	6
												House For Sale	119000	131000		"117 Lee Road 2056, Salem, AL36874"	3	2	1514	2001	36590.4	Solid Source Premier Realty	http://www.zillow.com/homedetails/117-Lee-Road-2056-Salem-AL-36874/90650760_zpid/		0	0
1		1	1	1		6		0	2	1	9	House For Sale	159900	145000		"14909 Clovercrest Dr SE, Huntsville, AL35803"	4	2	1577	1985	14374.8	CRYE-LEIKE REALTORS	http://www.zillow.com/homedetails/14909-Clovercrest-Dr-SE-Huntsville-AL-35803/92172152_zpid/	1	0	9
											6.666666667	House For Sale	183000	166000		"111 Sawtooth Dr, Dothan, AL36301"	4	2	1897	2014	"7,840"	BHHS Showcase Properties	http://www.zillow.com/homedetails/111-Sawtooth-Dr-Dothan-AL-36301/2105434158_zpid/		0	1
