ListKey	cooling	deck	dishwasher	heating	last_sold	laundry	num_rooms	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore	Street	City	State	Zipcode
1	1	1	1	1	"128,000"	1	3	1	0	1	6.666666667	House For Sale	129500	126000	7	"125 Bobbie Dr, Swansea, IL62226"	3	2	1720	1973	3245220	Berkshire Hathaway Home Services	http://www.zillow.com/homedetails/125-Bobbie-Dr-Swansea-IL-62226/5270656_zpid/		0	24	125 Bobbie Dr	 Swansea	IL	62226
2			1	1			7	1	2		5.666666667	Apartment For Sale	279500	268000	8	"3315 Home Ave, Berwyn, IL60402"	6			1894	"6,098"	Re/Max Partners	http://www.zillow.com/homedetails/3315-Home-Ave-Berwyn-IL-60402/2105989577_zpid/		0	81	3315 Home Ave	 Berwyn	IL	60402
3							8	1	0		4.666666667	Apartment For Sale	1100000		8	"1807 W Cortland St, Chicago, IL60622"	8	5		1901	"3,125"	Re/Max Partners	http://www.zillow.com/homedetails/1807-W-Cortland-St-Chicago-IL-60622/2104308103_zpid/		67	86	1807 W Cortland St	 Chicago	IL	60622
4	1		1	1	"112,000"	1	8	1	1		6.333333333	Apartment For Sale	149900	173000	17	"5433 Sugarloaf Ct, Plainfield, IL60586"	2	3	1668	1999		Charles Rutenberg Realty	http://www.zillow.com/homedetails/5433-Sugarloaf-Ct-Plainfield-IL-60586/51398830_zpid/		0	1	5433 Sugarloaf Ct	 Plainfield	IL	60586
5	1						8	1	2		8	House For Sale	266000	289000	21	"60 S Garden Ave, Roselle, IL60172"	3		1859	1978	76	"Austin Realty, Inc."	http://www.zillow.com/homedetails/60-S-Garden-Ave-Roselle-IL-60172/4364040_zpid/		0	22	60 S Garden Ave	 Roselle	IL	60172
6							3	1	0		9	House For Sale	379900	285000	26	"469 W Park Way # 0, Riverside, IL60546"	3	2	2435	1957		Re/Max Action	http://www.zillow.com/homedetails/469-W-Park-Way-0-Riverside-IL-60546/2104545477_zpid/		0	51	469 W Park Way # 0	 Riverside	IL	60546
7				1			4	1	2		1.666666667	Apartment For Sale	184900	171000	31	"2428 S 50th Ave, Cicero, IL60804"	4			1913	"3,484"	RE/MAX Partners Realtors	http://www.zillow.com/homedetails/2428-S-50th-Ave-Cicero-IL-60804/2104602729_zpid/		0	78	2428 S 50th Ave	 Cicero	IL	60804
8	1	1	1	1		1	7	1	2		9	Townhouse For Sale	279500		32	"205 Jason Ct # 205, Bloomingdale, IL60108"	2	3	1984	1997		RE/MAX 1ST	http://www.zillow.com/homedetails/205-Jason-Ct-205-Bloomingdale-IL-60108/2104623695_zpid/		0	36	205 Jason Ct # 205	 Bloomingdale	IL	60108
9	1		1	1	"27,000"	1	3	1	0		2.666666667	House For Sale	73900	76000	39	"107 Hodge Ct, Alton, IL62002"	3	2	1224	1970		RE/MAX EXPRESS	http://www.zillow.com/homedetails/107-Hodge-Ct-Alton-IL-62002/4996113_zpid/		0	41	107 Hodge Ct	 Alton	IL	62002
10					"90,000"		0	1	2		9.666666667	House For Sale	288000	338000	40	"905 S Fairfield Ave, Elmhurst, IL60126"			1456	1945	"6,600"	Remax Action	http://www.zillow.com/homedetails/905-S-Fairfield-Ave-Elmhurst-IL-60126/4481452_zpid/		14	29	905 S Fairfield Ave	 Elmhurst	IL	60126
